ACC	DEFINITION
SM01246	
SM01295	K167/Chmadrin repeat
SM01247	
SM01248	
SM01297	Kinesin-associated protein (KAP) 
SM01298	
SM01249	Nuclear envelope localisation domain 
SM01250	Histone acetylation protein
SM00280	Kazal type serine protease inhibitors
SM01251	KinB-signalling pathway activation in sporulation
SM00612	
SM00322	K homology RNA-binding domain
SM01252	
SM01253	Domain of Kin17 curved DNA-binding protein
SM00750	kinase non-catalytic C-lobe domain
SM00129	Kinesin motor, catalytic domain. ATPase.
SM01254	Predicted coiled-coil domain-containing protein
SM00505	Knottins
SM01255	
SM01256	
SM00739	KOW (Kyprides, Ouzounis, Woese) motif.
SM00130	Kringle domain
SM00349	krueppel associated box
SM01257	Ki-ras-induced actin-interacting protein-IP3R-interacting domain
SM01258	KRBA1 family repeat
SM00131	BPTI/Kunitz family of serine protease inhibitors.
SM00559	Ku70 and Ku80 are 70kDa and 80kDa subunits of the Lupus Ku autoantigen
SM00569	domain in receptor targeting proteins Lin-2 and Lin-7
SM00916	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
SM00715	Domain in the RNA-binding Lupus La protein; unknown function
SM01259	Lipid A Biosynthesis N-terminal domain
SM00849	Metallo-beta-lactamase superfamily
SM01267	LAG1, DNA binding
SM00281	Laminin B domain
SM00282	Laminin G domain
SM00560	LamG-like jellyroll fold domain
SM00136	Laminin N-terminal domain (domain VI)
SM01262	Late endosomal/lysosomal adaptor and MAPK and MTOR activator
SM01260	Lanthionine synthetase C-like protein
SM00603	
SM00192	Low-density lipoprotein receptor domain class A
SM00540	in nuclear membrane-associated proteins
SM00917	LeuA allosteric (dimerisation) domain
SM01263	Leukotriene A4 hydrolase, C-terminal
SM00308	Lipoxygenase homology 2 (beta barrel) domain
SM00080	leukemia inhibitory factor 
SM00532	Ligase N family
SM00918	Ligated ion channel L-glutamate- and glycine-binding site
SM00132	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
SM00445	Link (Hyaluronan-binding)
SM01269	Sphingolipid Delta4-desaturase (DES)
SM00667	Lissencephaly type-1-like homology motif
SM00714	Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
SM00226	Low molecular weight phosphatase family
SM00775	
SM00464	Found in ATP-dependent protease La (LON)
SM01270	Regulated-SNARE-like domain
SM00638	Lipoprotein N-terminal Domain
SM00370	Leucine-rich repeats, outliers
SM00364	Leucine-rich repeats, bacterial type
SM00446	occurring C-terminal to leucine-rich repeats
SM00367	Leucine-rich repeat - CC (cysteine-containing) subfamily
SM00082	Leucine rich repeat C-terminal domain
SM00013	Leucine rich repeat N-terminal domain
SM00368	Leucine rich repeat, ribonuclease inhibitor type
SM00365	Leucine-rich repeat, SDS22-like subfamily
SM00369	Leucine-rich repeats, typical (most populated) subfamily
SM01271	Scd6-like Sm domain
SM01272	
SM00134	Ly-6 antigen / uPA receptor -like domain
SM00135	Low-density lipoprotein-receptor YWTD domain
SM00257	Lysin motif
SM00850	LytTr DNA-binding domain
SM00263	 Alpha-lactalbumin / lysozyme C
SM00047	Lysozyme subfamily 2
SM01264	Peptidase M16C associated
SM01276	Peptidase M60-like family
SM00283	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
SM00544	Domain in DAP-5, eIF4G, MA-3 and other proteins.
SM01265	
SM01266	Maltose acetyltransferase
SM00457	membrane-attack complex / perforin
SM00777	Mad3/BUB1 hoMad3/BUB1 homology region 1
SM00595	
SM00432	
SM01373	Melanoma-associated antigen
SM01392	Melanoma associated antigen family N terminal 
SM01273	Mago binding
SM01277	Polyubiquitination (PEST) N-terminal domain of MAGUK
SM01274	Malic enzyme, N-terminal domain
SM00919	Malic enzyme, NAD binding domain
SM00137	Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
SM01275	MamL-1 domain 
SM00765	
SM01278	Mitogen-activated protein kinase kinase 1 interacting
SM00061	meprin and TRAF homology
SM01279	Trimeric coiled-coil oligomerisation domain of matrilin 
SM00391	Methyl-CpG binding domain
SM00561	Present in Drosophila Scm, l(3)mbt, and vertebrate SCML2
SM00923	MbtH-like protein
SM00350	minichromosome  maintenance proteins
SM01280	Mcm10 replication factor
SM00604	
SM01281	Transcription mediator complex subunit Med12
SM00138	Methyltransferase, chemotaxis proteins 
SM00851	MGS-like domain
SM00924	MgtE intracellular N domain
SM00920	Class II histocompatibility antigen, alpha domain
SM00921	Class II histocompatibility antigen, beta domain
SM00543	Middle domain of eukaryotic initiation factor 4G (eIF4G)
SM01423	Kinesin associated protein
SM00472	Domain in ryanodine and inositol trisphosphate receptors and protein O-mannosyltransferases
SM00745	Microtubule Interacting and Trafficking molecule domain
SM00737	Domain involved in innate immunity and lipid metabolism.
SM00925	MltA specific insert domain
SM01388	Mob1/phocein family
SM00852	Probable molybdopterin binding domain
SM00926	Molybdopterin oxidoreductase Fe4S4 domain
SM00698	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
SM01347	Mre11 DNA-binding presumed domain
SM00922	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
SM00733	Mitochondrial termination factor repeats
SM00927	DNA mismatch repair enzyme MutH
SM00853	MutL C terminal dimerisation domain
SM00534	ATPase domain of DNA mismatch repair MUTS family
SM00533	DNA-binding domain of DNA mismatch repair MUTS family
SM00242	Myosin. Large ATPases.
SM00139	Domain in Myosin and Kinesin Tails
SM01292	N1221-like protein
SM01296	
SM01407	
SM00928	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
SM00929	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
SM00183	Natriuretic peptide
SM01348	DNA damage repair protein Nbs1
SM00562	
SM00725	NEAr Transporter domain
SM00227	
SM00588	
SM00932	Scaffold protein Nfu/NifU N terminal
SM00140	Nerve growth factor (NGF or beta-NGF)
SM01290	Peptide-N-glycosidase F, N terminal
SM00738	In Spt5p, this domain may confer affinity for Spt4p. It possesses a RNP-like fold.
SM00003	Neurohypophysial hormones
SM00539	Extracellular domain of unknown function in nidogen (entactin) and hypothetical proteins.
SM00930	
SM00004	Domain found in Notch and Lin-12
SM00084	Neuromedin U 
SM01338	
SM01339	
SM00931	NOSIC (NUC001) domain
SM00776	
SM01364	Pro-opiomelanocortin, N-terminal region
SM00703	N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).
SM01291	COMPASS (Complex proteins associated with Set1p) component N
SM00206	Tissue inhibitor of metalloproteinase family.
SM00477	DNA/RNA non-specific endonuclease
SM01344	
SM00933	
SM00284	Olfactomedin-like domains
SM00934	Orotidine 5'-phosphate decarboxylase / HUMPS family
SM00935	Outer membrane protein (OmpH-like)
SM01365	Opioids neuropeptide
SM00511	Orange domain
SM00017	Osteopontin
SM00702	Prolyl 4-hydroxylase alpha subunit homologues.
SM01414	P68HR (NUC004) repeat
SM00758	
SM00085	Phospholipase A2
SM00086	Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
SM01335	
SM00309	Pancreatic hormones / neuropeptide F / peptide YY family 
SM00753	PCI/PINT associated module
SM00473	divergent subfamily of APPLE domains
SM01406	
SM00470	ParB-like nuclease domain
SM00091	PAS domain
SM00740	
SM00613	domain present in PNGases and other hypothetical proteins
SM00351	Paired Box domain
SM00949	
SM00666	PB1 domain 
SM00285	P21-Rho-binding domain
SM00710	Parallel beta-helix repeats
SM00936	Penicillin-binding protein 5, C-terminal domain 
SM00062	Bacterial periplasmic substrate-binding proteins
SM00079	Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
SM00937	
SM00018	P or trefoil or TFF domain
SM00141	Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family
SM00228	Domain present in PSD-95, Dlg, and ZO-1/2.
SM01300	
SM00645	Papain family cysteine protease
SM00939	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
SM00940	X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal
SM00854	Bacterial capsule synthesis protein PGA_cap
SM00855	Phosphoglycerate mutase family
SM00701	Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.
SM00233	Pleckstrin homology domain.
SM00244	prohibitin homologues
SM00708	Insect pheromone/odorant binding protein domains.
SM00249	PHD zinc finger
SM00782	PhnA Zinc-Ribbon
SM00145	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
SM00146	Phosphoinositide 3-kinase, catalytic domain
SM00142	Phosphoinositide 3-kinase, region postulated to contain C2 domain
SM00143	PI3-kinase family, p85-binding domain
SM00144	PI3-kinase family, Ras-binding domain
SM00780	PIG-X / PBN1
SM00938	Nitrogen regulatory protein P-II
SM00670	Large family of predicted nucleotide-binding domains
SM00088	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
SM01299	N-term cysteine-rich ER, FAM69
SM00330	Phosphatidylinositol phosphate kinases
SM00950	
SM00089	Repeats in polycystic kidney disease 1 (PKD1) and other proteins
SM00827	Acyl transferase domain in polyketide synthase (PKS) enzymes.
SM00826	
SM00829	Enoylreductase
SM00822	
SM00825	Beta-ketoacyl synthase
SM00828	Methyltransferase  in polyketide synthase (PKS) enzymes.
SM00823	Phosphopantetheine attachment site
SM01294	
SM00824	Thioesterase
SM00022	Cytoplasmic phospholipase A2, catalytic subunit
SM00148	Phospholipase C, catalytic domain (part); domain X
SM00149	Phospholipase C, catalytic domain (part); domain Y
SM00155	Phospholipase D. Active site motifs.
SM00250	Plectin repeat
SM00002	Myelin proteolipid protein (PLP or lipophilin)
SM00563	Phosphate acyltransferases
SM00719	Short conserved domain in transcriptional regulators.
SM00856	Plant invertase/pectin methylesterase inhibitor
SM00480	DNA polymerase III beta subunit
SM00482	DNA polymerase A domain
SM00486	DNA polymerase type-B family
SM00481	DNA polymerase alpha chain like domain
SM00483	DNA polymerase X family
SM00517	C-terminal domain of Poly(A)-binding protein. Present also in Drosophila hyperplastics discs protein.
SM00538	A domain found in a protein subunit of human RNase MRP and RNase P ribonucleoprotein complexes and archaeal proteins.
SM00508	Cysteine-rich motif following a subset of SET domains
SM00352	Found in Pit-Oct-Unc transcription factors
SM00574	domain associated with HOX domains
SM00156	Protein phosphatase 2A homologues, catalytic domain.
SM00332	Serine/threonine phosphatases, family 2C, catalytic domain
SM00331	Sigma factor PP2C-like phosphatases
SM00564	beta-propeller repeat
SM00596	
SM00468	N-terminal to some SET domains
SM01400	N-terminal domain of ribose phosphate pyrophosphokinase
SM00942	Primase C terminal 1 (PriCT-1)
SM00943	Bifunctional DNA primase/polymerase, N-terminal
SM00778	Zinc-binding domain of primase-helicase
SM00947	Carbonic anhydrase
SM00392	Profilin
SM00944	Pro-kumamolisin, activation domain
SM00945	ProQ/FINO family
SM01412	Proline-rich
SM00946	Prolyl-tRNA synthetase, C-terminal
SM00948	Proteasome subunit A N-terminal signature  Add an annotation
SM00157	Major prion protein
SM00589	
SM00639	Paramecium Surface Antigen Repeat
SM00423	domain found in Plexins, Semaphorins and Integrins
SM00730	Presenilin, signal peptide peptidase, family
SM00581	proline-rich domain in spliceosome associated proteins
SM00462	Phosphotyrosine-binding domain, phosphotyrosine-interaction (PI) domain
SM00310	Phosphotyrosine-binding domain (IRS1-like)
SM01326	C2 domain of PTEN tumour-suppressor protein
SM00087	Parathyroid hormone
SM00286	Plant trypsin inhibitors
SM00193	Pleiotrophin / midkine family
SM00194	Protein tyrosine phosphatase, catalytic domain
SM00012	Protein tyrosine phosphatase, catalytic domain, undefined specificity
SM00404	Protein tyrosine phosphatase, catalytic domain motif
SM01301	Inositol hexakisphosphate
SM00159	Pentraxin / C-reactive protein / pentaxin family
SM00359	Putative RNA-binding Domain in PseudoUridine synthase and Archaeosine transglycosylase
SM00580	domain in protein kinases, N-glycanases and other nuclear proteins
SM00025	Pumilio-like repeats
SM00712	DNA/RNA-binding repeats in PUR-alpha/beta/gamma and in hypothetical proteins from spirochetes and the Bacteroides-Cytophaga-Flexibacter bacteria.
SM00311	PWI, domain in splicing factors
SM00293	domain with conserved PWWP motif
SM00312	PhoX homologous domain, present in p47phox and p40phox.
SM00313	Domain associated with PX domains
SM00941	Pyrimidine nucleoside phosphorylase C-terminal domain
SM01289	PAAD/DAPIN/Pyrin domain
SM00951	
SM00393	Putative single-stranded nucleic acids-binding domain
SM00314	Ras association (RalGDS/AF-6) domain
SM00175	Rab subfamily of small GTPases
SM00650	Ribosomal RNA adenine dimethylases
SM00176	Ran (Ras-related nuclear proteins) /TC4 subfamily of small GTPases
SM00160	Ran-binding domain
SM00952	
SM01345	Rapamycin binding domain
SM01302	Raptor N-terminal CASPase like domain
SM00173	Ras subfamily of RAS small GTPases
SM01304	Ras-binding domain of Byr2
SM00323	GTPase-activator protein for Ras-like GTPases
SM00147	Guanine nucleotide exchange factor for Ras-like small GTPases
SM00229	Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
SM01303	Rapamycin-insensitive companion of mTOR RasGEF_N domain
SM01368	Retinoblastoma-associated protein A domain
SM01369	Rb C-terminal domain
SM00455	Raf-like Ras-binding domain
SM00448	cheY-homologous receiver domain
SM00954	Region found in RelA / SpoT proteins
SM00953	
SM00857	 Resolvase, N terminal domain
SM01305	
SM01306	RFX5 DNA-binding domain
SM00315	Regulator of G protein signalling domain
SM00174	Rho (Ras homology) subfamily of Ras-like small GTPases
SM00450	Rhodanese Homology Domain
SM00324	GTPase-activator protein for Rho-like GTPases
SM00325	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
SM00959	Rho termination factor, N-terminal domain
SM00535	Ribonuclease III family
SM01374	Ribosomal protein L14p/L23e
SM01384	
SM01416	
SM01383	Ribosomal Proteins L2, RNA binding domain
SM01382	Ribosomal Proteins L2, C-terminal domain
SM01380	
SM01393	
SM01377	
SM01403	Ribosomal protein S10p/S20e
SM01386	Ribosomal S13/S15 N-terminal domain
SM01387	
SM01413	
SM01402	Ribosomal protein S27a
SM01397	Ribosomal S3Ae family
SM01390	Ribosomal protein S4/S9 N-terminal domain
SM01405	Ribosomal protein S6e
SM00458	Ricin-type beta-trefoil
SM01307	Rapamycin-insensitive companion of mTOR, middle domain
SM01308	Rapamycin-insensitive companion of mTOR, N-term
SM01309	Rapamycin-insensitive companion of mTOR, phosphorylation-site
SM01310	Rapamycin-insensitive companion of mTOR, domain 5
SM00394	RIIalpha, Regulatory subunit portion of type II PKA R-subunit
SM00184	Ring finger
SM00744	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
SM00090	RIO-like kinase
SM00649	Ribosomal protein L11/L12
SM01409	RNA polymerase Rpb6
SM00092	Pancreatic ribonuclease 
SM00955	
SM00960	Roadblock/LC7 domain
SM01378	Reactive mitochondrial oxygen species modulator 1
SM00707	Repeat in Drosophila CG10860, human KIAA0680 and C. elegans F26H9.2
SM00657	DNA-directed RNA-polymerase II subunit 
SM00658	RNA polymerase subunit 8
SM00661	RNA polymerase subunit 9
SM00663	RNA polymerase I subunit A N-terminus
SM00659	RNA polymerase subunit CX
SM00662	RNA polymerases D
SM01311	DNA-directed RNA polymerase N-terminal
SM00582	
SM00956	
SM00360	RNA recognition motif
SM00361	RNA recognition motif
SM00362	RNA recognition motif
SM01312	RTC4-like domain
SM01287	Histone chaperone Rttp106-like
SM00961	Ribulose bisphosphate carboxylase, small chain
SM00593	
SM00591	
SM00316	Ribosomal protein S1-like RNA-binding domain
SM01394	S-100/ICaBP type calcium binding domain
SM00363	S4 RNA-binding domain
SM00970	Sexual stage antigen s48/45 domain
SM00197	Serum amyloid A proteins
SM00858	
SM00454	Sterile alpha motif.
SM01426	SAM homeodomain adjacent domain
SM00251	SAM / Pointed domain
SM00003	SAM upstream domain
SM00258	SAND domain
SM00717	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
SM00513	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation
SM00162	Saposin/surfactant protein-B A-type DOMAIN
SM00741	Saposin (B) Domains
SM00178	Sar1p-like members of the Ras-family  of small GTPases
SM01422	Smad anchor for receptor activation (SARA)
SM00971	Serine acetyltransferase, N-terminal
SM00431	leucine rich region
SM00198	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
SM00972	Spore Coat Protein U domain
SM00199	Intercrine alpha family (small cytokine C-X-C) (chemokine CXC).
SM01401	Sds3-like
SM00200	Domain found in sea urchin sperm protein, enterokinase, agrin
SM00516	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)
SM01313	Exocyst complex component SEC3 N-terminal PIP2 binding PH
SM00973	Sec63 Brl domain  
SM00222	Sec7 domain
SM00957	SecA DEAD-like domain
SM00958	SecA preprotein cross-linking domain
SM00671	Sel1-like repeats.
SM00630	semaphorin domain
SM00859	Semialdehyde dehydrogenase, NAD binding domain
SM00553	Domain present in Saccharomyces cerevisiae Shp1, Drosophila melanogaster eyes closed gene (eyc), and vertebrate p47.
SM00093	SERine  Proteinase INhibitors
SM00317	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
SM00500	Splicing Factor Motif, present in Prp18 and Pr04
SM00019	Pulmonary surfactant proteins
SM00252	Src homology 2 domains
SM00326	Src homology 3 domains
SM00287	Bacterial SH3 domain homologues
SM00254	ShK toxin domain
SM00786	ER membrane protein SH3
SM00512	Found in Skp1 protein family
SM00651	snRNP Sm proteins
SM00010	Small GTPase of the Ras superfamily; ill-defined subfamily
SM00968	SMC proteins Flexible Hinge Domain
SM00860	SMI1 / KNR4 family
SM00463	Small MutS-related domain
SM01314	Snf2-ATP coupling, chromatin remodelling complex
SM00318	Staphylococcal nuclease homologues
SM00201	Somatomedin B -like domains
SM00253	suppressors of cytokine signalling
SM00969	
SM01417	Organic solute transporter Ostalpha
SM00459	Sorbin homologous domain
SM00787	Spc7 kinetochore protein
SM01315	N-terminus of kinetochore NMS complex subunit Spc7 
SM00150	Spectrin repeats
SM00583	
SM01316	Sporulation protein family 7
SM01317	Sporulation initiation phospho-transferase B, C-terminal 
SM00967	RNA 2'-O ribose methyltransferase substrate binding
SM00966	SpoVT / AbrB like domain 
SM00731	SprT homologues.
SM00449	Domain in SPla and the RYanodine Receptor. 
SM01286	FACT complex subunit (SPT16/CDC68)
SM00784	SPT2 chromatin protein
SM01389	Spt4/RpoE2 zinc finger
SM00202	Scavenger receptor Cys-rich
SM00466	SET and RING finger associated domain. Domain of unknown function in SET domain containing proteins and in Deinococcus radiodurans DRA1533.
SM00962	SRP54-type protein, GTPase domain
SM00963	SRP54-type protein, helical bundle domain
SM00234	in StAR and phosphatidylcholine transfer protein
SM00964	STAT protein, protein interaction domain
SM00424	STE like transcription factors
SM00452	Soybean trypsin inhibitor (Kunitz) family of protease inhibitors
SM00727	Heat shock chaperonin-binding motif.
SM00220	Serine/Threonine protein kinases, catalytic domain
SM00133	Extension to Ser/Thr-type protein kinases
SM00965	Secretin and TonB N terminus short domain
SM00221	Protein kinase; unclassified specificity.
SM01318	Single domain von Willebrand factor type C
SM00648	Suppressor-of-White-APricot splicing regulator
SM00151	SWI complex, BAF60b domains
SM01399	Sybindin-like family
SM00503	Syntaxin N-terminal domain
SM00974	
SM00803	TATA box binding protein associated factor
SM00549	TAF homology
SM01370	TAFII55 protein conserved region
SM01342	Telomere-length maintenance and DNA damage repair
SM01319	Tankyrase binding protein C terminal domain
SM00804	C-terminal domain of vertebrate Tap protein
SM00319	Homologues of the ligand binding domain of Tar
SM00164	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
SM01395	Transcription factor TFIIH complex subunit Tfb5
SM00425	Domain first found  in the mice T locus (Brachyury) protein
SM00711	Short repeats in human TONDU, fly vestigial and other proteins.
SM00426	TEA domain
SM00706	Beta propeller repeats in Physarum polycephalum tectonins, Limulus lectin L-6 and animal hypothetical proteins.
SM00976	Telomeric single stranded DNA binding POT1/CDC13
SM00975	Telomerase ribonucleoprotein complex - RNA binding domain
SM01333	Oxygenase domain of the 2OGFeDO superfamily
SM01371	Transcription factor IIA, alpha/beta subunit
SM00531	Transcription initiation factor IIE
SM00510	Domain in the central regions of transcription elongation factor S-II (and elsewhere)
SM00509	Domain in the N-terminus of transcription elongation factor S-II (and elsewhere) 
SM00460	Transglutaminase/protease-like homologues
SM00204	Transforming growth  factor-beta (TGF-beta) family
SM00980	
SM00705	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
SM01419	Alpha-macro-globulin thiol-ester bond-forming region
SM00205	Thaumatin family
SM00981	
SM00152	Thymosin beta actin-binding motif.
SM01261	
SM00979	
SM00977	TilS substrate C-terminal domain
SM00978	
SM00255	Toll - interleukin 1 - resistance
SM00203	Tachykinin family
SM00724	TRAM, LAG1 and CLN8 homology domains.
SM00584	domain in TBC and LysM domain containing proteins
SM00207	Tumour necrosis factor family.
SM00208	Tumor necrosis factor receptor / nerve growth factor receptor repeats.
SM01349	
SM00437	Bacterial DNA topoisomerase I DNA-binding domain
SM00436	Bacterial DNA topoisomeraes I ATP-binding domain
SM00433	TopoisomeraseII
SM00434	DNA Topoisomerase IV
SM00435	DNA Topoisomerase I (eukaryota)
SM00493	
SM01341	
SM00983	Thiamin pyrophosphokinase, vitamin B1 binding domain
SM00028	Tetratricopeptide repeats
SM00861	Transketolase, pyrimidine binding domain
SM00862	Transcriptional regulatory protein, C terminal
SM00746	metallochaperone-like domain
SM00982	
SM00094	Transferrin
SM00863	Threonyl and Alanyl tRNA synthetase second additional domain
SM01420	Transient receptor ion channel II
SM01320	ML-like domain
SM00095	Transthyretin
SM00020	Trypsin-like serine protease
SM00397	Helical region found in SNAREs
SM00209	Thrombospondin type 1 repeats
SM00245	tail specific protease
SM00210	Thrombospondin N-terminal -like domains.
SM00864	Tubulin/FtsZ family, GTPase domain
SM00865	Tubulin/FtsZ family, C-terminal domain
SM00333	Tudor domain
SM00211	Thyroglobulin type I repeats.
SM00219	Tyrosine kinase, catalytic domain
SM00594	
SM00165	Ubiquitin associated domain
SM00985	Ubiquitin-activating enzyme e1 C-terminal domain
SM00212	Ubiquitin-conjugating enzyme E2, catalytic domain homologues
SM00504	Modified RING finger domain
SM00213	Ubiquitin homologues
SM00166	Domain present in ubiquitin-regulatory proteins
SM00800	Domain always found upstream of DENN domain, found in a variety of signalling proteins
SM00986	Uracil DNA glycosylase superfamily
SM00984	UDP binding domain
SM00726	Ubiquitin-interacting motif.
SM00802	Domain in UVSB PI-3 kinase, MEI-41 and ESR-1
SM00987	UreE urease accessory protein, C-terminal domain 
SM00988	UreE urease accessory protein, N-terminal domain
SM00096	Uteroglobin
SM00866	
SM00989	
SM00153	Villin headpiece domain
SM00288	Domain present in VPS-27, Hrs and STAM
SM00609	Vault protein Inter-alpha-Trypsin domain
SM00756	
SM00602	
SM00167	Domain present in VPS9
SM00990	
SM00327	von Willebrand factor (vWF) type A domain
SM00214	von Willebrand factor (vWF) type C domain
SM00011	
SM00215	von Willebrand factor (vWF) type C domain
SM00216	von Willebrand factor (vWF) type D domain
SM00217	Four-disulfide core domains
SM00320	WD40 repeats
SM00773	Proposed nucleic acid binding domain
SM00461	WASP homology region 1
SM00246	Wiskott Aldrich syndrome homology region 2
SM00991	
SM00769	Water Stress and Hypersensitive response
SM00469	Wnt-inhibitory factor-1 like domain
SM00097	found in Wnt-1
SM00289	Worm-specific repeat type 1
SM00774	DNA binding domain
SM00321	present in yeast cell wall integrity and stress response component proteins
SM00453	Worm-specific (usually) N-terminal domain
SM00456	Domain with 2 conserved Trp (W) residues
SM00678	Domain in Deltex and TRIP12 homologues. Possibly involved in regulation of ubiquitin-mediated proteolysis.
SM00768	Possibly involved in carbohydrate binding
SM00484	Xeroderma pigmentosum G I-region
SM00485	Xeroderma pigmentosum G N-region
SM00247	Beta/gamma crystallins
SM01321	Transposase IS200 like
SM01322	
SM01323	Preprotein translocase subunit
SM01324	
SM00992	Hemimethylated DNA-binding protein YccV like
SM00867	YceI-like domain 
SM00993	YL1 nuclear protein C-terminal domain
SM00732	Likely ribonuclease with RNase H fold.
SM00550	Z-DNA-binding domain in adenosine deaminases.
SM01327	Activator of mitotic machinery Cdc14 phosphatase activation C-term
SM01328	Zinc-binding domain 
SM00868	Zinc-finger associated domain (zf-AD)
SM00994	ClpX C4-type zinc finger
SM01336	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
SM00771	ZipA, C-terminal domain (FtsZ-binding)
SM00735	ZASP-like motif
SM00770	Zinc dependent phospholipase C (alpha toxin)
SM00259	A20-like zinc fingers
SM00154	AN1-like Zinc finger
SM00614	BED zinc finger
SM00440	C2C2 Zinc finger
SM00355	zinc finger
SM00343	zinc finger
SM00356	zinc finger
SM00399	c4 zinc finger in nuclear hormone receptors
SM00704	CDGSH-type zinc finger. Function unknown.
SM00400	zinc finger
SM00586	Zinc finger in DBF-like proteins
SM00401	zinc finger binding to DNA consensus sequence [AT]GATA[AG] 
SM00438	
SM00575	plant mutator transposase zinc finger
SM00734	Rad18-like CCHC zinc finger
SM00547	Zinc finger domain
SM00551	TAZ zinc finger, present in p300 and CBP 
SM00597	
SM00451	U1-like zinc finger
SM00290	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger
SM00396	Putative zinc finger in N-recognin, a recognition component of the N-end rule pathway
SM00291	Zinc-binding domain, present in Dystrophin, CREB-binding protein.
SM00235	Zinc-dependent metalloprotease
SM00631	
SM00241	Zona pellucida (ZP) domain
SM00709	Duplicated domain in the epidermal growth factor- and elongation factor-1alpha-binding protein Zpr1. Also present in archaeal proteins.
SM00218	Domain present in ZO-1 and Unc5-like netrin receptors
